Sl. No.,State/UT,General Rules,Establishment of Regulatory Authority,Establishment of Appellate Tribunal,Web Portal,Adjudicating Officer,Registrations - Projects,Registrations - Agents,Total no. of Cases disposed by Authority 
1,Andhra Pradesh,Notified,Permanent,Permanent,Setup,Appointed,2420.0,154.0,158.0
2,Arunachal Pradesh,Notified,Interim,Not Established,Not Setup,Not Appointed,,,
3,Assam,Notified,Permanent,Permanent,Setup,Not Appointed,464.0,38.0,21.0
4,Bihar,Notified,Permanent,Permanent,Setup,Appointed,1305.0,415.0,1154.0
5,Chhattisgarh,Notified,Permanent,Permanent,Setup,Appointed,1378.0,646.0,1424.0
6,Goa,Notified,Permanent,Permanent,Setup,Appointed,847.0,336.0,131.0
7,Gujarat,Notified,Permanent,Permanent,Setup,Appointed,9818.0,1869.0,3367.0
8,Haryana,Notified,Permanent,Permanent,Setup,Appointed,965.0,2812.0,18383.0
9,Himachal Pradesh,Notified,Permanent,Permanent,Setup,Appointed,101.0,113.0,44.0
10,Jharkhand,Notified,Permanent,Permanent,Setup,Appointed,821.0,7.0,93.0
